"DataTime","Nom","User","Context","Component","Event","Description","Origin","Dir.IP"
"28/03/2019 00:22","Alum_1","-","Curso: ","Sistema","Curso visto",".","web","0.0.0.0"
"27/03/2019 23:55","Alum_1","-","Tarea: Práctica 4.3","Tarea","Se ha visualizado el estado de la entrega.",".","web","0.0.0.0"
"27/03/2019 22:49","Alum_1","-","Tarea: Práctica 4.2","Tarea","Se ha visualizado el estado de la entrega.",".","web","0.0.0.0"
"27/03/2019 22:49","Alum_1","-","Curso: ","Sistema","Curso visto",".","web","0.0.0.0"
"27/03/2019 22:46","Alum_1","-","Curso: ","Sistema","Curso visto",".","web","0.0.0.0"
"27/03/2019 22:45","Alum_1","-","Tarea: Práctica 4.4","Tarea","Se ha visualizado el estado de la entrega.",".","web","0.0.0.0"
"27/03/2019 22:45","Alum_1","-","Curso: ","Sistema","Curso visto",".","web","0.0.0.0"
"27/03/2019 22:45","Alum_1","-","Curso: ","Sistema","Curso visto",".","web","0.0.0.0"
"27/03/2019 22:44","Alum_1","-","Tarea: Práctica 4.2","Tarea","Se ha visualizado el estado de la entrega.",".","web","0.0.0.0"
"27/03/2019 22:44","Alum_1","-","Curso: ","Sistema","Curso visto",".","web","0.0.0.0"
"27/03/2019 22:25","Alum_1","-","Tarea: Práctica 4.2","Tarea","Se ha visualizado el estado de la entrega.",".","web","0.0.0.0"
"27/03/2019 22:25","Alum_1","-","Curso: ","Sistema","Curso visto",".","web","0.0.0.0"
"27/03/2019 22:21","Alum_1","-","Tarea: Práctica 4.1","Tarea","Se ha visualizado el estado de la entrega.",".","web","0.0.0.0"
"27/03/2019 22:21","Alum_1","-","Curso: ","Sistema","Curso visto",".","web","0.0.0.0"
"27/03/2019 22:05","Alum_1","-","Tarea: Práctica 4.1","Tarea","Se ha visualizado el estado de la entrega.",".","web","0.0.0.0"
"27/03/2019 22:05","Alum_1","-","Curso: ","Sistema","Curso visto",".","web","0.0.0.0"
"27/03/2019 22:05","Alum_1","-","Curso: ","Sistema","Curso visto",".","web","0.0.0.0"
